TRIlong_start_activation;TRIlong_final_activation;TRIlat_start_activation;TRIlat_final_activation;TRImed_start_activation;TRImed_final_activation;BIClong_start_activation;BIClong_final_activation;BICshort_start_activation;BICshort_final_activation;BRA_start_activation;BRA_final_activation;r_shoulder_jointangle_desired;r_shoulder_jointangle_final;r_elbow_jointangle_desired;r_elbow_jointangle_final;execution_time;gradient_stepsize
0.3;0.063;0.2;0.149;0.4;0.429;0.2;0.279;0.2;0.237;0.2;0.159;45;45.0021;135;134.999;181726;0.001
0.3;0.078;0.2;0.11;0.4;0.442;0.2;0.278;0.2;0.242;0.2;0.158;45;44.9218;135;134.785;89811;0.006
0.3;0.025;0.2;0.167;0.4;0.389;0.2;0.255;0.2;0.189;0.2;0.167;45;45.1537;135;135.79;119013;0.011
0.3;0.044;0.2;0.032;0.4;0.4;0.2;0.2;0.2;0.232;0.2;0.232;45;44.8729;135;136.399;95225;0.016
0.3;0;0.2;0.063;0.4;0.337;0.2;0.221;0.2;0.095;0.2;0.095;45;45.8527;135;134.969;219188;0.021
0.3;0;0.2;0.026;0.4;0.348;0.2;0.2;0.2;0.096;0.2;0.148;45;45.0714;135;136.175;192065;0.026
